stock_1,stock_2,observations,correlation,volatility_1,volatility_2,volatility_difference,return_difference_std
E,XOM,7733,0.6098595142239382,0.0185149362565788,0.016435200192516267,0.0020797360640625318,0.015548704585013534
FTI,SHEL,6334,0.6097423490609566,0.027381102081088595,0.018509366203724398,0.008871735877364197,0.02177792909052073
CVX,COP,11250,0.6086898727107247,0.016864239744931748,0.023569963883016513,0.0067057241380847656,0.01886928951718285
IMO,TS,5958,0.6082908679773432,0.021001764832436116,0.02520614781485461,0.004204382982418493,0.020794176448812585
WDS,SHEL,4806,0.6080374879701042,0.02493510518267522,0.019454234214956633,0.005480870967718588,0.02025627762766636
BKR,TRGP,2296,0.6079563276650052,0.025216969272738986,0.03308663946632524,0.007869670193586257,0.02676062190609038
KMI,BKR,2296,0.6075106655871908,0.017735962469690895,0.025216969272738986,0.007481006803048092,0.020175356023277632
BKR,SU,2296,0.6067635083440285,0.025216969272738986,0.023978856823330817,0.00123811244940817,0.02184245321435658
EOG,HAL,9288,0.6059815586989908,0.02424920941011204,0.027760979285420966,0.0035117698753089274,0.023298596842935584
PBA,CVE,3993,0.6056070061386404,0.01921082965795887,0.02960817258128544,0.010397342923326568,0.023595853131403933
SLB,OXY,11250,0.6050279859294659,0.022837641171496014,0.022882932392799777,4.5291221303762896e-05,0.02031798804013815
PSX,SHEL,3611,0.6050080027079664,0.021123561127816888,0.01821294154016348,0.0029106195876534083,0.017674729815724148
FTI,IMO,6334,0.6043763179676684,0.027381102081088595,0.02067336278665075,0.006707739294437846,0.022201054469447378
TRGP,SLB,3950,0.6041029399806962,0.030633248028124498,0.023109236310295843,0.007524011717828655,0.02484211130345674
PSX,OXY,3611,0.6039831754232758,0.021123561127816888,0.027864544684326198,0.00674098355650931,0.022619253042363265
EOG,CVX,9288,0.603953574616255,0.02424920941011204,0.0164852243571183,0.007763985052993739,0.019414465693469687
PBA,EQNR,2078,0.603821693056257,0.02229750713949944,0.02308650389249311,0.0007889967529936676,0.020211509269448546
HAL,PBA,3993,0.6031536866145671,0.027039274083481855,0.01921082965795887,0.007828444425522985,0.021761564914297222
KMI,TRP,3904,0.6029605443835727,0.01801533455406325,0.014917695165822179,0.0030976393882410722,0.014933248430701485
BKR,IMO,2296,0.6024890146136557,0.025216969272738986,0.023245661431047226,0.00197130784169176,0.021677548568087072
IMO,DVN,8669,0.6007909165429278,0.0192505379506833,0.026190818633795864,0.006940280683112563,0.021230163310422746
KMI,DVN,3904,0.6006103040720835,0.01801533455406325,0.028986289136096507,0.010970954582033256,0.02318367103575655
SU,BP,8236,0.599966018350454,0.02294919083409766,0.018143737246547845,0.0048054535875498156,0.018874002061837383
BKR,CNQ,2296,0.5994309084376073,0.025216969272738986,0.02619810148582825,0.0009811322130892641,0.02302659163063127
SU,SLB,8236,0.5979274503233472,0.02294919083409766,0.023669372418631703,0.000720181584534043,0.02091230752176136
FTI,E,6334,0.5968844485445489,0.027381102081088595,0.018573765215998725,0.00880733686508987,0.02208153673990726
E,FANG,3483,0.5958143941647018,0.01768982405564166,0.03016237940097745,0.012472555345335787,0.024225709245517184
WDS,COP,4806,0.5952313547864271,0.02493510518267522,0.02242031578645272,0.0025147893962225026,0.02142191312134959
HAL,MPC,3813,0.5950841568134884,0.027258873482354944,0.024859320465776852,0.0023995530165780918,0.02354845699801972
DVN,BP,8669,0.5943662354654843,0.026190818633795864,0.018042487721734973,0.00814833091206089,0.021207492980296404
BKR,E,2296,0.5929995776641265,0.025216969272738986,0.018329916991087224,0.006887052281651762,0.020583561201525637
EQNR,MPC,2078,0.5925803327492247,0.02308650389249311,0.026983568204419304,0.0038970643119261954,0.022864740723830677
TRGP,SHEL,3950,0.5925055330779017,0.030633248028124498,0.018098054249813957,0.012535193778310541,0.02467717018739304
TRGP,CVX,3950,0.5918055750467075,0.030633248028124498,0.017032103402995335,0.013601144625129163,0.0247172189734638
TRGP,SU,3950,0.5916193107718305,0.030633248028124498,0.022205253648518646,0.008427994379605851,0.025032133990171946
BKR,VLO,2296,0.5907683281781838,0.025216969272738986,0.026232958116700386,0.0010159888439613997,0.023290740306234545
EOG,XOM,9288,0.5906804653743324,0.02424920941011204,0.015641387348031742,0.008607822062080297,0.019611151390204605
TRGP,IMO,3950,0.5905188717833881,0.030633248028124498,0.020669160318117406,0.009964087710007091,0.024855986491513275
WDS,IMO,4806,0.5898209126635626,0.02493510518267522,0.021992711021874757,0.002942394160800464,0.021413415522182074
SLB,MPC,3813,0.5898078306765874,0.023302403338755183,0.024859320465776852,0.001556917127021669,0.021855383762080863
SU,MPC,3813,0.5896441463856544,0.022290486449778744,0.024859320465776852,0.002568834015998108,0.021479685464227547
E,OXY,7733,0.5891479153437177,0.0185149362565788,0.02475057931007184,0.006235643053493042,0.02038218868605289
KMI,SHEL,3904,0.5886001284886976,0.01801533455406325,0.018161642142614388,0.00014630758855113668,0.016408280134789836
COP,SHEL,9734,0.5883502368234153,0.01997628172218819,0.018724119062222072,0.0012521626599661176,0.017592994285722762
WDS,XOM,4806,0.5881217286852186,0.02493510518267522,0.017114164282527215,0.007820940900148007,0.020315015520329167
BKR,WMB,2296,0.5871798942004203,0.025216969272738986,0.01929940163671322,0.005917567636025765,0.02090057235937684
